2024-08-05 14:40:37+00,Thiudimir,"LINESTRING(-13717.4 3118.66,-13673.8 3157.08)",4,3,29.2064,0
2024-08-05 14:40:37+00,Hydatiusa,"LINESTRING(-8721.17 -3819.36,-8750.89 -3771.9)",6,3,28.8066,0
2024-08-05 14:40:37+00,Luneda,"LINESTRING(-9288.74 -2103.92,-9276.81 -2062.49)",8,5,10.3171,0
2024-08-05 14:40:37+00,Sthenelusb,"LINESTRING(-8549.29 -3960.46,-8602.43 -3953.85)",2,7,10.6938,0
2024-08-05 14:40:37+00,Esmonda,"LINESTRING(-13985.3 2729.75,-13935.3 2740.62)",1,1,25.1112,0
2024-08-05 14:40:37+00,Karin,"LINESTRING(535.842 -5319.18,522.144 -5269.73)",1,1,14.3728,0
2024-08-05 14:40:37+00,Lutisse,"LINESTRING(-812.874 -8807.97,-845.499 -8766.11)",3,3,17.442,0
2024-08-05 14:40:37+00,Nidria,"LINESTRING(1264.58 -4827.21,1268.26 -4833.85)",4,11,29.3178,0
2024-08-05 14:40:38+00,Irmengardc,"LINESTRING(513.6 -5844.53,528.834 -5790.64)",3,4,14.6165,0
2024-08-05 14:40:38+00,Judbert,"LINESTRING(-10832.1 -6858.76,-10796 -6896.41)",6,11,30.0678,0
2024-08-05 14:40:38+00,Glykea,"LINESTRING(-15545.4 5892.12,-15519.4 5940.86)",4,4,12.7329,0
2024-08-05 14:40:38+00,Illaria,"LINESTRING(-9978.84 -4727.39,-9941.34 -4759.06)",8,7,7.32,0
2024-08-05 14:40:38+00,Urtsuaa,"LINESTRING(-12974.6 3086.3,-13008.3 3105.98)",4,1,29.0459,0
2024-08-05 14:40:38+00,Purnelleb,"LINESTRING(-845.749 -9039.31,-835.136 -9066.94)",3,3,24.0834,0
2024-08-05 14:40:38+00,Aleaumea,"LINESTRING(-8894.21 -2216.6,-8925.84 -2197)",6,7,19.2488,0
2024-08-05 14:40:38+00,Heweralda,"LINESTRING(3174.88 -9740.88,3142.74 -9703.82)",1,2,30.278,0
2024-08-05 14:40:38+00,Lallya,"LINESTRING(-13835 2577.62,-13868.2 2542.33)",1,1,24.2454,0
2024-08-05 14:40:38+00,Alcherb,"LINESTRING(-13585.7 3012.38,-13547.4 3047)",1,2,20.6541,0
2024-08-05 14:40:38+00,Emerleea,"LINESTRING(-13742.1 2578.71,-13733.4 2632.38)",3,2,22.4108,0
2024-08-05 14:40:38+00,Moggb,"LINESTRING(-9306.32 -3295.3,-9344.28 -3254.13)",5,8,14.1078,0
2024-08-05 14:40:40+00,Lall,"LINESTRING(3483.49 -1008.15,3510.98 -989.246)",2,3,12.3844,0
2024-08-05 14:40:40+00,Juliotea,"LINESTRING(-8763.2 -4675.29,-8772.79 -4620.11)",2,3,24.6153,0
2024-08-05 14:40:40+00,Luneda,"LINESTRING(-9282.86 -2083.5,-9281.49 -2063.42)",8,5,10.3171,0
2024-08-05 14:40:40+00,Esmonda,"LINESTRING(-13964.2 2731.69,-13913.4 2750.42)",1,1,25.1112,0
2024-08-05 14:40:40+00,Prinetadasb,"LINESTRING(-644.449 -5153.07,-638.324 -5154.03)",4,1,30,0
2024-08-05 14:40:40+00,Vanora,"LINESTRING(-775.531 -8897.44,-742.317 -8859.6)",1,2,21.0256,0
2024-08-05 14:40:40+00,Dunwar,"LINESTRING(-645.699 -8874.58,-659.881 -8859.68)",1,1,29.1234,0
2024-08-05 14:40:40+00,Wlfildisc,"LINESTRING(-278.133 -10573.9,-276.842 -10582.9)",4,4,30.887,0
2024-08-05 14:40:40+00,Actor,"LINESTRING(631.007 -5220.31,576.203 -5233.1)",7,9,31.6701,0
2024-08-05 14:40:40+00,Wintara,"LINESTRING(-43.0314 -6044.12,-51.596 -6099.2)",3,3,9.782,0
2024-08-05 14:40:41+00,Lutisse,"LINESTRING(-823.562 -8788.88,-848.8 -8743.73)",3,3,17.442,0
2024-08-05 14:40:41+00,Barbot,"LINESTRING(-431.44 -9273.91,-394.144 -9312.64)",1,1,18.9543,0
2024-08-05 14:40:41+00,Minicea,"LINESTRING(-613.524 -8833.59,-599.509 -8886.15)",1,5,25.3828,0
2024-08-05 14:40:41+00,Ospin,"LINESTRING(1866.06 -2995.86,1847.41 -2979.55)",4,11,30.5161,0
2024-08-05 14:40:41+00,Annesa,"LINESTRING(-331.693 1006.07,-337.228 1056.86)",5,5,30.1914,0
2024-08-05 14:40:41+00,Anneisb,"LINESTRING(-13338.3 -57.3201,-13375.3 -18.8142)",6,11,30.1024,0
2024-08-05 14:40:41+00,Joel,"LINESTRING(-12980.5 3114.5,-12964.4 3113.01)",4,11,29.2506,0
2024-08-05 14:40:41+00,Thiudimir,"LINESTRING(-13698.7 3135.19,-13655.8 3172.96)",4,3,29.2064,0
2024-08-05 14:40:41+00,Martinb,"LINESTRING(901.421 -4900.42,940.901 -4861.4)",4,4,26.5299,0
2024-08-05 14:40:41+00,Merops,"LINESTRING(-1450.61 -11221.6,-1457.95 -11172.5)",1,2,26.0682,0
2024-08-05 14:40:41+00,Guillemet,"LINESTRING(-9775.2 -3882.2,-9808.71 -3910.49)",2,3,16.2009,0
2024-08-05 14:40:41+00,Lizardia,"LINESTRING(-221.416 -9739.32,-186.472 -9695.61)",1,8,30.7833,0
2024-08-05 14:40:41+00,Goduineb,"LINESTRING(-1167.66 -10654.7,-1218.86 -10645.1)",1,2,27.3245,0
2024-08-05 14:40:41+00,Oroitzec,"LINESTRING(-16202.7 5987.02,-16157.7 5969.75)",4,11,12.0326,0
2024-08-05 14:40:41+00,Tybalt,"LINESTRING(-8960.57 -3360,-8945.99 -3316.98)",1,4,20.8388,0
2024-08-05 14:40:41+00,Glykea,"LINESTRING(-15536.6 5910.06,-15514.5 5955.25)",4,4,12.7329,0
