Godelevea,"LINESTRING(-14589 -10567,-14589 -10567,-14589 -10567,-14596 -10583,-14634 -10636,-14672 -10676,-14672 -10680,-14672 -10700,-14695 -10742,-14779 -10715,-14779 -10715,-14779 -10715,-14773 -10707,-14772 -10708)",2.7,6,7,0
Godelevea,"LINESTRING(-14772 -10708,-14575.9 -10540.5)",2.7,6,7,1
Helmech,"LINESTRING(-16005 -4588,-16005 -4588,-16005 -4588,-16005 -4588,-16005 -4588,-16005 -4588,-16005 -4588,-16005 -4588,-16005 -4588,-16005 -4588,-16005 -4588,-15990 -4563,-15979 -4530)",0.0,5,9,0
Helmech,"LINESTRING(-15979 -4530,-16285.6 -4095.4)",0.0,5,9,1
Amfrid,"LINESTRING(-9896 -4574,-9896 -4574,-9897 -4575,-9910 -4618,-9881 -4655,-9843 -4682)",4.3,4,11,0
Amfrid,"LINESTRING(-9843 -4682,-545.4 -14291.6)",4.3,4,11,1
Charoposa,"LINESTRING(-14046 2133,-14046 2133,-14070 2159,-14087 2188,-14104 2215,-14128 2239)",6.0,4,4,0
Charoposa,"LINESTRING(-14128 2239,-14247.6 2522.9)",6.0,4,4,1
Amyfelysea,"LINESTRING(2435 -3289,2435 -3289,2435 -3289,2435 -3289,2435 -3289,2435 -3289)",1.8,3,3,0
Amyfelysea,"LINESTRING(2435 -3289,2961.5 -5365.7)",1.8,3,3,1
Pattrik,"LINESTRING(2503 1785,2503 1785,2503 1785,2480 1779,2422 1760,2422 1760)",1.9,8,8,0
Pattrik,"LINESTRING(2422 1760,-9230.6 -2046.0)",1.9,8,8,1
Wigo,"LINESTRING(-9493 -2731,-9493 -2731,-9493 -2731,-9493 -2731,-9493 -2731,-9493 -2731)",0.4,8,5,0
Wigo,"LINESTRING(-9493 -2731,-9237.2 -2048.6)",0.4,8,5,1
Melodia,"LINESTRING(-424 -14398,-424 -14398,-424 -14398,-424 -14398,-425 -14410,-436 -14426,-455 -14435,-426 -14393,-439 -14358,-465 -14332,-494 -14312,-529 -14297,-563 -14282)",0.7,3,2,0
Melodia,"LINESTRING(-563 -14282,-9852.1 -4685.6)",0.7,3,2,1
Hengelsendaa,"LINESTRING(-11355 -1057,-11355 -1057,-11355 -1057,-11355 -1057,-11355 -1057,-11355 -1057,-11355 -1057,-11355 -1057,-11355 -1057,-11355 -1057,-11355 -1057,-11355 -1057,-11355 -1057)",0.4,8,4,0
Hengelsendaa,"LINESTRING(-11355 -1057,-13715.8 -4959.5)",0.4,8,4,1
Jollan,"LINESTRING(-15955 6322,-15955 6322,-15955 6322,-15969 6292,-16032 6278,-16097 6276,-16165 6277,-16228 6272)",3.6,4,11,0
Jollan,"LINESTRING(-16228 6272,-14634.9 5101.6)",3.6,4,11,1
